ID,prior_gpa,test_score,attendance_rate,assignment_rate,risk_level,at_risk,risk_label,attendance_band,gpa_band,meets_70_rule,dataset
1,2.79,29,65,51,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
2,2.01,30,98,52,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
3,3.2,28,71,50,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
4,3.3,18,63,67,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
5,2.11,18,98,72,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
6,3.56,22,68,61,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
7,2.08,20,80,74,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
8,3.32,23,96,92,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
9,3.64,24,89,58,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
10,3.77,20,67,91,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
11,3.87,23,68,71,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
12,2.12,22,94,51,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
13,3.14,27,88,75,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
14,2.87,26,71,55,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
15,3.09,19,96,79,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
16,3.28,29,92,56,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
17,2.2,27,84,90,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
18,3.52,24,97,71,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
19,3.35,24,85,83,Low,0,Not at risk,70-85%,2.5-3.5,Eligible,A (primary)
20,3.38,23,96,68,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
