StudentID,study_hours,attendance_percentage,participation_rate,total_score,grade,at_risk,risk_label,attendance_band,study_band,meets_70_rule,dataset
1,18.5,95.6,3.8,97.9,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
2,14.0,80.0,2.5,83.9,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
3,19.5,86.3,5.3,100.0,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
4,25.7,70.2,7.0,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
5,13.4,81.9,6.9,92.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
6,13.4,65.1,5.0,97.5,A,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
7,26.1,81.8,5.9,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
8,20.4,100.0,4.0,96.1,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
9,11.7,100.0,8.2,69.8,C,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
10,18.8,67.6,6.0,80.3,B,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
11,11.8,82.3,4.6,66.4,C,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
12,11.7,75.9,7.6,72.5,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
13,16.7,77.9,2.5,95.2,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
14,1.6,92.1,5.7,60.9,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
15,2.9,90.7,5.4,52.1,D,1,At risk,Above 85%,Under 10h,Eligible,B (secondary)
16,11.1,87.4,3.9,73.5,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
17,7.9,85.9,7.7,63.0,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
18,17.2,74.0,8.1,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
19,8.6,100.0,9.0,75.4,B,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
20,5.1,91.4,4.5,57.9,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
21,25.3,89.3,6.4,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
22,13.4,93.5,9.4,79.0,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
23,15.5,100.0,8.5,76.3,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
24,5.0,74.2,5.0,58.7,C,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
25,11.2,96.1,4.9,68.3,C,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
26,15.8,81.1,5.0,97.2,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
27,6.9,73.6,6.1,68.4,C,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
28,17.6,83.9,8.9,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
29,10.8,86.2,3.4,63.6,C,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
30,13.0,75.0,5.7,89.2,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
31,10.8,76.6,5.0,77.4,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
32,28.0,89.2,6.5,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
33,14.9,68.4,7.2,82.6,B,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
34,7.6,93.0,6.2,71.9,B,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
35,20.8,85.2,7.7,97.4,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
36,6.5,86.4,8.2,61.6,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
37,16.5,86.8,4.6,99.5,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
38,1.3,92.9,8.6,50.1,D,1,At risk,Above 85%,Under 10h,Eligible,B (secondary)
